,x,y,z,priority,my_area,exist
0,0.1166,0,0.108,106,FALSE,TRUE
1,0.2566,0,0.108,105,FALSE,TRUE
2,0.3966,0,0.108,104,FALSE,TRUE
3,0.5366,0,0.108,103,FALSE,TRUE
4,0.6766,0,0.108,102,FALSE,TRUE
5,0.8166,0,0.108,322,FALSE,TRUE
6,0.9566,0,0.108,323,FALSE,TRUE
7,1.0966,0,0.108,324,FALSE,TRUE
8,1.2366,0,0.108,325,FALSE,TRUE
9,0.2767,-0.297,0.078,217,TRUE,TRUE
10,0.4767,-0.297,0.078,218,TRUE,TRUE
11,0.6767,-0.297,0.078,219,TRUE,TRUE
12,0.8767,-0.297,0.078,220,TRUE,TRUE
13,1.0767,-0.297,0.078,221,TRUE,TRUE
14,0.1767,-0.397,0.078,212,TRUE,TRUE
15,0.3767,-0.397,0.078,213,TRUE,TRUE
16,0.5767,-0.397,0.078,214,TRUE,TRUE
17,0.7767,-0.397,0.078,215,TRUE,TRUE
18,0.9767,-0.397,0.078,216,TRUE,TRUE
19,1.1767,-0.397,0.078,211,TRUE,TRUE
20,0.2767,-0.497,0.078,207,TRUE,TRUE
21,0.4767,-0.497,0.078,208,TRUE,TRUE
22,0.6767,-0.497,0.078,209,TRUE,TRUE
23,0.8767,-0.497,0.078,210,TRUE,TRUE
24,1.0767,-0.497,0.078,1,TRUE,TRUE
