,x,y,z,priority,exist,row
0,1.2267,-0.874,0,101,TRUE,0
1,1.3267,-0.874,0,102,TRUE,0
2,1.4267,-0.874,0,103,TRUE,0
3,1.2267,-0.974,0,104,TRUE,0
4,1.3267,-0.974,0,3,FALSE,0
5,1.4267,-0.974,0,106,TRUE,0
6,1.2267,-1.075,0,107,TRUE,1
7,1.3267,-1.075,0,2,FALSE,1
8,1.4267,-1.075,0,109,TRUE,1
9,1.2267,-1.175,0,110,TRUE,1
10,1.3267,-1.175,0,111,TRUE,1
11,1.4267,-1.175,0,112,TRUE,1
12,1.2267,-1.276,0,113,TRUE,2
13,1.3267,-1.276,0,1,FALSE,2
14,1.4267,-1.276,0,115,TRUE,2
15,1.2267,-1.376,0,116,TRUE,2
16,1.3267,-1.376,0,117,TRUE,2
17,1.4267,-1.376,0,118,TRUE,2
