,x,y,z,priority,exist,my_area
0,1.2267,0.874,0,3,FALSE,TRUE
1,1.3267,0.874,0,2,FALSE,TRUE
2,1.4267,0.874,0,1,FALSE,TRUE
3,1.2267,0.974,0,6,FALSE,TRUE
4,1.3267,0.974,0,5,FALSE,TRUE
5,1.4267,0.974,0,4,FALSE,TRUE
6,1.2267,1.075,0,9,FALSE,TRUE
7,1.3267,1.075,0,8,FALSE,TRUE
8,1.4267,1.075,0,7,FALSE,TRUE
9,1.2267,1.175,0,12,FALSE,TRUE
10,1.3267,1.175,0,11,FALSE,TRUE
11,1.4267,1.175,0,10,FALSE,TRUE
12,1.2267,1.276,0,15,FALSE,TRUE
13,1.3267,1.276,0,14,FALSE,TRUE
14,1.4267,1.276,0,13,FALSE,TRUE
15,1.2267,1.376,0,18,FALSE,TRUE
16,1.3267,1.376,0,17,FALSE,TRUE
17,1.4267,1.376,0,16,FALSE,TRUE
