,x,y,z,priority,exist,my_area
0,1.2267,0.874,0,6,FALSE,TRUE
1,1.3267,0.874,0,4,FALSE,TRUE
2,1.4267,0.874,0,2,FALSE,TRUE
3,1.2267,0.974,0,5,FALSE,TRUE
4,1.3267,0.974,0,3,FALSE,TRUE
5,1.4267,0.974,0,1,FALSE,TRUE
6,1.2267,1.075,0,101,TRUE,TRUE
7,1.3267,1.075,0,102,TRUE,TRUE
8,1.4267,1.075,0,103,TRUE,TRUE
9,1.2267,1.175,0,104,TRUE,TRUE
10,1.3267,1.175,0,105,TRUE,TRUE
11,1.4267,1.175,0,106,TRUE,TRUE
12,1.2267,1.276,0,107,TRUE,TRUE
13,1.3267,1.276,0,108,TRUE,TRUE
14,1.4267,1.276,0,109,TRUE,TRUE
15,1.2267,1.376,0,110,TRUE,TRUE
16,1.3267,1.376,0,111,TRUE,TRUE
17,1.4267,1.376,0,112,TRUE,TRUE
