,x,y,z,priority,exist,my_area
0,1.2267,0.874,0,101,TRUE,TRUE
1,1.3267,0.874,0,6,FALSE,TRUE
2,1.4267,0.874,0,103,TRUE,TRUE
3,1.2267,0.974,0,5,FALSE,TRUE
4,1.3267,0.974,0,105,TRUE,TRUE
5,1.4267,0.974,0,4,FALSE,TRUE
6,1.2267,1.075,0,107,TRUE,TRUE
7,1.3267,1.075,0,3,FALSE,TRUE
8,1.4267,1.075,0,109,TRUE,TRUE
9,1.2267,1.175,0,2,FALSE,TRUE
10,1.3267,1.175,0,111,TRUE,TRUE
11,1.4267,1.175,0,1,FALSE,TRUE
12,1.2267,1.276,0,113,TRUE,TRUE
13,1.3267,1.276,0,114,TRUE,TRUE
14,1.4267,1.276,0,115,TRUE,TRUE
15,1.2267,1.376,0,116,TRUE,TRUE
16,1.3267,1.376,0,117,TRUE,TRUE
17,1.4267,1.376,0,118,TRUE,TRUE
