,x,y,z,priority,my_area,exist
0,0.1166,0,0.106,110,FALSE,FALSE
1,0.2566,0,0.106,109,FALSE,FALSE
2,0.3966,0,0.106,108,FALSE,TRUE
3,0.5366,0,0.106,107,FALSE,TRUE
4,0.6766,0,0.106,106,FALSE,TRUE
5,0.8166,0,0.106,105,FALSE,TRUE
6,0.9566,0,0.106,104,FALSE,TRUE
7,1.0966,0,0.106,103,FALSE,TRUE
8,1.2366,0,0.106,102,FALSE,TRUE
9,0.2767,0.297,0.076,211,TRUE,TRUE
10,0.4767,0.297,0.076,212,TRUE,FALSE
11,0.6767,0.297,0.076,213,TRUE,FALSE
12,0.8767,0.297,0.076,214,TRUE,FALSE
13,1.0767,0.297,0.076,215,TRUE,FALSE
14,0.1767,0.397,0.076,216,TRUE,FALSE
15,0.3767,0.397,0.076,217,TRUE,FALSE
16,0.5767,0.397,0.076,218,TRUE,FALSE
17,0.7767,0.397,0.076,219,TRUE,FALSE
18,0.9767,0.397,0.076,220,TRUE,FALSE
19,1.1767,0.397,0.076,221,TRUE,FALSE
20,0.2767,0.497,0.076,222,TRUE,TRUE
21,0.4767,0.497,0.076,223,TRUE,TRUE
22,0.6767,0.497,0.076,224,TRUE,TRUE
23,0.8767,0.497,0.076,225,TRUE,TRUE
24,1.0767,0.497,0.076,1,TRUE,TRUE
