,x,y,z,priority,exist,my_area
0,1.2267,-0.8740000000000001,0,3,True,True
1,1.3267,-0.8740000000000001,0,2,True,True
2,1.4267,-0.8740000000000001,0,1,True,True
3,1.2267,-0.9740000000000001,0,6,True,True
4,1.3267,-0.9740000000000001,0,5,True,True
5,1.4267,-0.9740000000000001,0,4,True,True
6,1.2267,-1.075,0,9,True,True
7,1.3267,-1.075,0,8,True,True
8,1.4267,-1.075,0,7,True,True
9,1.2267,-1.175,0,12,True,True
10,1.3267,-1.175,0,11,True,True
11,1.4267,-1.175,0,10,True,True
12,1.2267,-1.276,0,15,True,True
13,1.3267,-1.276,0,14,True,True
14,1.4267,-1.276,0,13,True,True
15,1.2267,-1.376,0,18,True,True
16,1.3267,-1.376,0,17,True,True
17,1.4267,-1.376,0,16,True,True
