,x,y,z,priority,exist,my_area,picked_x,picked_y,diff_x,diff_y
0,1.2267,-0.8740000000000001,0.076,3,False,True,1.2267000311067726,-0.8739999989856148,3.11067727132297e-08,1.0143853534927416e-09
1,1.3267,-0.8740000000000001,0.076,2,False,True,1.326700032978834,-0.8739999989856148,3.2978834108021715e-08,1.0143853534927416e-09
2,1.4267,-0.8740000000000001,0.076,1,False,True,1.4267000348508958,-0.8739999989856148,3.485089572485833e-08,1.0143853534927416e-09
3,1.2267,-0.9740000000000001,0.076,6,False,True,1.2267000311067726,-0.9739999988086196,3.11067727132297e-08,1.191380438747558e-09
4,1.3267,-0.9740000000000001,0.076,5,False,True,1.326700032978834,-0.9739999988086196,3.2978834108021715e-08,1.191380438747558e-09
5,1.4267,-0.9740000000000001,0.076,4,False,True,1.4267000348508958,-0.9739999988086196,3.485089572485833e-08,1.191380438747558e-09
6,1.2267,-1.075,0.076,9,False,True,1.2267000311067726,-1.07499999774876,3.11067727132297e-08,2.251239861195131e-09
7,1.3267,-1.075,0.076,8,False,True,1.326700032978834,-1.07499999774876,3.2978834108021715e-08,2.251239861195131e-09
8,1.4267,-1.075,0.076,7,False,True,1.4267000348508958,-1.07499999774876,3.485089572485833e-08,2.251239861195131e-09
9,1.2267,-1.175,0.076,12,False,True,1.2267000311067726,-1.1749999996208218,3.11067727132297e-08,3.7917824435851344e-10
10,1.3267,-1.175,0.076,11,False,True,1.326700032978834,-1.1749999996208218,3.2978834108021715e-08,3.7917824435851344e-10
11,1.4267,-1.175,0.076,10,False,True,1.4267000348508958,-1.1749999996208218,3.485089572485833e-08,3.7917824435851344e-10
12,1.2267,-1.276,0.076,15,False,True,1.2267000311067726,-1.2760000067571893,3.11067727132297e-08,-6.757189252581952e-09
13,1.3267,-1.276,0.076,14,False,True,1.326700032978834,-1.2760000067571893,3.2978834108021715e-08,-6.757189252581952e-09
14,1.4267,-1.276,0.076,13,False,True,1.4267000348508958,-1.2760000067571893,3.485089572485833e-08,-6.757189252581952e-09
15,1.2267,-1.376,0.076,18,False,True,1.2267000311067726,-1.376000008629251,3.11067727132297e-08,-8.629251091463175e-09
16,1.3267,-1.376,0.076,17,False,True,1.326700032978834,-1.376000008629251,3.2978834108021715e-08,-8.629251091463175e-09
17,1.4267,-1.376,0.076,16,False,True,1.4267000348508958,-1.376000008629251,3.485089572485833e-08,-8.629251091463175e-09
