,x,y,z,priority,my_area,exist
0,0.1133,0,0.108,106,FALSE,TRUE
1,0.2533,0,0.108,105,FALSE,TRUE
2,0.3933,0,0.108,104,FALSE,TRUE
3,0.5333,0,0.108,103,FALSE,TRUE
4,0.6733,0,0.108,102,FALSE,TRUE
5,0.8133,0,0.108,322,FALSE,TRUE
6,0.9533,0,0.108,323,FALSE,TRUE
7,1.0933,0,0.108,324,FALSE,TRUE
8,1.2333,0,0.108,325,FALSE,TRUE
9,0.281,0.295,0.078,217,TRUE,TRUE
10,0.481,0.296,0.078,218,TRUE,TRUE
11,0.681,0.297,0.078,219,TRUE,TRUE
12,0.881,0.298,0.078,220,TRUE,TRUE
13,1.081,0.299,0.078,221,TRUE,TRUE
14,0.176,0.395,0.078,212,TRUE,TRUE
15,0.376,0.395,0.078,213,TRUE,TRUE
16,0.576,0.395,0.078,214,TRUE,TRUE
17,0.776,0.395,0.078,215,TRUE,TRUE
18,0.976,0.395,0.078,216,TRUE,TRUE
19,1.176,0.395,0.078,211,TRUE,TRUE
20,0.281,0.495,0.078,207,TRUE,TRUE
21,0.481,0.495,0.078,208,TRUE,TRUE
22,0.681,0.495,0.078,209,TRUE,TRUE
23,0.881,0.495,0.078,210,TRUE,TRUE
24,1.081,0.495,0.078,1,TRUE,TRUE
