,x,y,z,priority,exist,row
0,1.2267,0.874,0.078,1,FALSE,0
1,1.3267,0.874,0.078,2,FALSE,0
2,1.4267,0.874,0.078,3,FALSE,0
3,1.2267,0.974,0.078,4,FALSE,0
4,1.3267,0.974,0.078,5,FALSE,0
5,1.4267,0.974,0.078,6,FALSE,0
6,1.2267,1.075,0.078,7,FALSE,1
7,1.3267,1.075,0.078,8,FALSE,1
8,1.4267,1.075,0.078,9,FALSE,1
9,1.2267,1.175,0.078,10,FALSE,1
10,1.3267,1.175,0.078,11,FALSE,1
11,1.4267,1.175,0.078,12,FALSE,1
12,1.2267,1.276,0.078,13,FALSE,2
13,1.3267,1.276,0.078,14,FALSE,2
14,1.4267,1.276,0.078,15,FALSE,2
15,1.2267,1.376,0.078,16,FALSE,2
16,1.3267,1.376,0.078,17,FALSE,2
17,1.4267,1.376,0.078,18,FALSE,2
