,x,y,z,priority,exist,my_area
0,1.2267,-0.8740000000000001,0.076,3,True,True
1,1.3267,-0.8740000000000001,0.076,2,True,True
2,1.4267,-0.8740000000000001,0.076,1,True,True
3,1.2267,-0.9740000000000001,0.076,6,True,True
4,1.3267,-0.9740000000000001,0.076,5,True,True
5,1.4267,-0.9740000000000001,0.076,4,True,True
6,1.2267,-1.075,0.076,9,True,True
7,1.3267,-1.075,0.076,8,True,True
8,1.4267,-1.075,0.076,7,True,True
9,1.2267,-1.175,0.076,12,True,True
10,1.3267,-1.175,0.076,11,True,True
11,1.4267,-1.175,0.076,10,True,True
12,1.2267,-1.276,0.076,15,True,True
13,1.3267,-1.276,0.076,14,True,True
14,1.4267,-1.276,0.076,13,True,True
15,1.2267,-1.376,0.076,18,True,True
16,1.3267,-1.376,0.076,17,True,True
17,1.4267,-1.376,0.076,16,True,True
