,x,y,z,priority,exist,row
0,1.2267,0.874,0,1,False,0
1,1.3267,0.874,0,2,False,0
2,1.4267,0.874,0,3,False,0
3,1.2267,0.974,0,4,False,0
4,1.3267,0.974,0,5,False,0
5,1.4267,0.974,0,6,False,0
6,1.2267,1.075,0,7,False,1
7,1.3267,1.075,0,8,False,1
8,1.4267,1.075,0,9,False,1
9,1.2267,1.175,0,10,False,1
10,1.3267,1.175,0,11,False,1
11,1.4267,1.175,0,12,False,1
12,1.2267,1.276,0,13,False,2
13,1.3267,1.276,0,14,False,2
14,1.4267,1.276,0,15,False,2
15,1.2267,1.376,0,16,False,2
16,1.3267,1.376,0,17,False,2
17,1.4267,1.376,0,18,False,2
