,x,y,z,priority,my_area,exist
0,0.1166,0,0.106,25,False,True
1,0.2566,0,0.106,24,False,True
2,0.3966,0,0.106,23,False,True
3,0.5366,0,0.106,22,False,True
4,0.6766,0,0.106,21,False,True
5,0.8166,0,0.106,20,False,True
6,0.9566,0,0.106,19,False,True
7,1.0966,0,0.106,18,False,True
8,1.2366,0,0.106,17,False,True
9,0.2767,0.297,0.076,16,True,False
10,0.4767,0.297,0.076,15,True,False
11,0.6767,0.297,0.076,14,True,False
12,0.8767,0.297,0.076,13,True,False
13,1.0767,0.297,0.076,12,True,False
14,0.1767,0.397,0.076,11,True,False
15,0.3767,0.397,0.076,10,True,False
16,0.5767,0.397,0.076,9,True,False
17,0.7767,0.397,0.076,8,True,False
18,0.9767,0.397,0.076,7,True,False
19,1.1767,0.397,0.076,6,True,False
20,0.2767,0.497,0.076,5,True,False
21,0.4767,0.497,0.076,4,True,False
22,0.6767,0.497,0.076,3,True,False
23,0.8767,0.497,0.076,2,True,False
24,1.0767,0.497,0.076,1,True,False
