,x,y,z,priority,exist,row
0,1.2267,0.874,0,3,FALSE,0
1,1.3267,0.874,0,2,FALSE,0
2,1.4267,0.874,0,1,FALSE,0
3,1.2267,0.974,0,6,FALSE,0
4,1.3267,0.974,0,5,FALSE,0
5,1.4267,0.974,0,4,FALSE,0
6,1.2267,1.075,0,9,FALSE,1
7,1.3267,1.075,0,8,FALSE,1
8,1.4267,1.075,0,7,FALSE,1
9,1.2267,1.175,0,12,FALSE,1
10,1.3267,1.175,0,11,FALSE,1
11,1.4267,1.175,0,10,FALSE,1
12,1.2267,1.276,0,15,FALSE,2
13,1.3267,1.276,0,14,FALSE,2
14,1.4267,1.276,0,13,FALSE,2
15,1.2267,1.376,0,18,FALSE,2
16,1.3267,1.376,0,17,FALSE,2
17,1.4267,1.376,0,16,FALSE,2
